PCNAME,HA_Name,LHA_Name,HSDA_Name,Warning_Zone,EcoRegion
Parksville,Vancouver Island,Oceanside,Central Vancouver Island,4,Coastal
Gibsons,Vancouver Coastal,Sunshine Coast,North Shore/Coast Garibaldi,4,Coastal
Squamish,Vancouver Coastal,Howe Sound,North Shore/Coast Garibaldi,4,Coastal
Pemberton,Vancouver Coastal,Howe Sound,North Shore/Coast Garibaldi,4,Coastal
Crofton,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,Coastal
Roberts Creek,Vancouver Coastal,Sunshine Coast,North Shore/Coast Garibaldi,4,Coastal
Tsawwassen,Fraser,Delta,Fraser South,5,Coastal
Harrison Hot Springs,Fraser,Agassiz/Harrison,Fraser East,5,Coastal
Aldergrove East,Fraser,Abbotsford,Fraser East,5,Coastal
Miller's Landing,Vancouver Coastal,West Vancouver/Bowen Island,North Shore/Coast Garibaldi,4,Coastal
Ladysmith,Vancouver Island,Cowichan Valley North,Central Vancouver Island,4,Coastal
Lake Cowichan,Vancouver Island,Cowichan Valley West,Central Vancouver Island,4,Coastal
Campbell River,Vancouver Island,Greater Campbell River,North Vancouver Island,4,Coastal
Yarrow,Fraser,Chilliwack,Fraser East,5,Coastal
Terrace,Northern,Terrace,Northwest,1,Coastal
Ucluelet,Vancouver Island,Alberni/Clayoquot,Central Vancouver Island,4,Coastal
Victoria,Vancouver Island,Greater Victoria,South Vancouver Island,4,Coastal
White Rock,Fraser,Surrey,Fraser South,5,Coastal
Cowichan Bay,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,Coastal
Welcome Beach,Vancouver Coastal,Sunshine Coast,North Shore/Coast Garibaldi,4,Coastal
Fairwinds,Vancouver Island,Oceanside,Central Vancouver Island,4,Coastal
Cobble Hill,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,Coastal
Chemainus,Vancouver Island,Cowichan Valley North,Central Vancouver Island,4,Coastal
Chilliwack,Fraser,Chilliwack,Fraser East,5,Coastal
Courtenay,Vancouver Island,Comox Valley,North Vancouver Island,4,Coastal
Nanaimo,Vancouver Island,Greater Nanaimo,Central Vancouver Island,4,Coastal
Ladner,Fraser,Delta,Fraser South,4,Coastal
Abbotsford,Fraser,Abbotsford,Fraser East,5,Coastal
Port Hardy,Vancouver Island,Vancouver Island North,North Vancouver Island,1,Coastal
Sooke,Vancouver Island,Western Communities,South Vancouver Island,4,Coastal
Mission,Fraser,Abbotsford,Fraser East,5,Coastal
Cumberland,Vancouver Island,Comox Valley,North Vancouver Island,4,Coastal
Duncan,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,Coastal
Puntledge,Vancouver Island,Comox Valley,North Vancouver Island,4,Coastal
Port McNeill,Vancouver Island,Vancouver Island North,North Vancouver Island,1,Coastal
Lions Bay,Vancouver Coastal,West Vancouver/Bowen Island,North Shore/Coast Garibaldi,4,Coastal
Aldergrove,Fraser,Abbotsford,Fraser East,5,Coastal
Port Alberni,Vancouver Island,Alberni/Clayoquot,Central Vancouver Island,4,Coastal
Rosedale,Fraser,Chilliwack,Fraser East,5,Coastal
