PCNAME,PCUID,PCPUID,DGUID,PCTYPE,PCCLASS,LANDAREA,HA_ID,HA_Name,LHA_Name,HSDA_Name,Warning_Zone,Population,Percent of HA pop
Abbotsford,1048,591048,2021S05101048,1,4,71.1956,2 FHA,Fraser,Abbotsford,Fraser East,5,132300,12.1%
Aldergrove,1218,591218,2021S05101218,2,2,7.0289,2 FHA,Fraser,Abbotsford,Fraser East,5,13105,1.2%
Aldergrove East,1408,591408,2021S05101408,2,2,2.5466,2 FHA,Fraser,Abbotsford,Fraser East,5,4496,0.4%
Armstrong,20,590020,2021S05100020,4,2,5.2185,1 IHA,Interior,Armstrong/Spallumcheen,Okanagan,3,5323,0.9%
Ashcroft,24,590024,2021S05100024,4,2,2.0456,1 IHA,Interior,South Cariboo,Thompson Cariboo Shuswap,3,1182,0.2%
Barriere,1613,591613,2021S05101613,4,2,3.0894,1 IHA,Interior,Kamloops,Thompson Cariboo Shuswap,3,1273,0.2%
Blind Bay,1350,591350,2021S05101350,4,2,4.1408,1 IHA,Interior,Salmon Arm,Thompson Cariboo Shuswap,3,2369,0.4%
Burns Lake,110,590110,2021S05100110,4,2,3.1175,5 NHA,Northern,Burns Lake,Northern Interior,2,2117,1.3%
Campbell River,119,590119,2021S05100119,1,3,33.0011,4 VIHA,Vancouver Island,Greater Campbell River,North Vancouver Island,4,38108,5.5%
Castlegar,146,590146,2021S05100146,4,2,19.0062,1 IHA,Interior,Castlegar,Kootenay Boundary,3,10029,1.8%
Chase,161,590161,2021S05100161,2,2,2.3332,1 IHA,Interior,Kamloops,Thompson Cariboo Shuswap,3,2377,0.4%
Chemainus,169,590169,2021S05100169,2,2,5.8193,4 VIHA,Vancouver Island,Cowichan Valley North,Central Vancouver Island,4,4033,0.6%
Chilliwack,177,590177,2021S05100177,1,3,56.0238,2 FHA,Fraser,Chilliwack,Fraser East,5,81622,7.5%
Cobble Hill,1557,591557,2021S05101557,4,2,6.6728,4 VIHA,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,3610,0.5%
Courtenay,207,590207,2021S05100207,1,3,56.5796,4 VIHA,Vancouver Island,Comox Valley,North Vancouver Island,4,48917,7.1%
Cowichan Bay,1410,591410,2021S05101410,2,2,4.4678,4 VIHA,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,2799,0.4%
Cranbrook,210,590210,2021S05100210,1,2,16.323,1 IHA,Interior,Cranbrook,East Kootenay,3,20008,3.5%
Creston,212,590212,2021S05100212,4,2,6.0392,1 IHA,Interior,Creston,East Kootenay,3,5459,1.0%
Crofton,1375,591375,2021S05101375,2,2,2.7596,4 VIHA,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,1446,0.2%
Cultus Lake,1314,591314,2021S05101314,2,2,1.7977,2 FHA,Fraser,Chilliwack,Fraser East,5,1164,0.1%
Cumberland,213,590213,2021S05100213,2,2,3.9121,4 VIHA,Vancouver Island,Comox Valley,North Vancouver Island,4,4190,0.6%
Dawson Creek,217,590217,2021S05100217,1,2,12.3425,5 NHA,Northern,Peace River South,Northeast,2,11706,7.0%
Duck Lake,1262,591262,2021S05101262,2,2,24.9263,1 IHA,Interior,Central Okanagan,Okanagan,3,12725,2.2%
Duncan,243,590243,2021S05100243,1,2,22.7484,4 VIHA,Vancouver Island,Cowichan Valley South,Central Vancouver Island,4,24358,3.5%
Elkford,1143,591143,2021S05101143,4,2,3.0666,1 IHA,Interior,Fernie,East Kootenay,3,1908,0.3%
Enderby,262,590262,2021S05100262,4,2,4.2626,1 IHA,Interior,Enderby,Okanagan,3,3028,0.5%
Fairwinds,1556,591556,2021S05101556,4,2,2.1287,4 VIHA,Vancouver Island,Oceanside,Central Vancouver Island,4,1207,0.2%
Fernie,280,590280,2021S05100280,4,2,4.4928,1 IHA,Interior,Fernie,East Kootenay,3,5519,1.0%
Fort Nelson,293,590293,2021S05100293,4,2,5.0218,5 NHA,Northern,Fort Nelson,Northeast,2,2611,1.6%
Fort St. James,297,590297,2021S05100297,4,2,3.2152,5 NHA,Northern,Nechako,Northern Interior,2,1497,0.9%
Fort St. John,298,590298,2021S05100298,1,2,14.8863,5 NHA,Northern,Peace River North,Northeast,2,21123,12.6%
Gibsons,316,590316,2021S05100316,4,2,14.1145,3 VCHA,Vancouver Coastal,Sunshine Coast,North Shore/Coast Garibaldi,4,9603,1.3%
Golden,326,590326,2021S05100326,4,2,6.1195,1 IHA,Interior,Golden,East Kootenay,3,3640,0.6%
Grand Forks,333,590333,2021S05100333,4,2,8.2053,1 IHA,Interior,Grand Forks,Kootenay Boundary,3,4166,0.7%
Harrison Hot Springs,1377,591377,2021S05101377,2,2,1.1678,2 FHA,Fraser,Agassiz/Harrison,Fraser East,5,1552,0.1%
Hope,376,590376,2021S05100376,4,2,5.4786,2 FHA,Fraser,Hope,Fraser East,5,4434,0.4%
Houston,1221,591221,2021S05101221,4,2,2.9443,5 NHA,Northern,Smithers,Northwest,2,2085,1.2%
Invermere,389,590389,2021S05100389,4,2,3.4384,1 IHA,Interior,Windermere,East Kootenay,3,3340,0.6%
Kamloops,397,590397,2021S05100397,1,3,74.3533,1 IHA,Interior,Kamloops,Thompson Cariboo Shuswap,3,92442,16.2%
Kelowna,403,590403,2021S05100403,1,4,168.9222,1 IHA,Interior,Central Okanagan,Okanagan,3,181380,31.9%
Kent,1325,591325,2021S05101325,2,2,4.0245,2 FHA,Fraser,Agassiz/Harrison,Fraser East,5,3936,0.4%
Keremeos,1558,591558,2021S05101558,4,2,2.8449,1 IHA,Interior,Keremeos,Okanagan,3,1791,0.3%
Kimberley,411,590411,2021S05100411,4,2,4.5126,1 IHA,Interior,Kimberley,East Kootenay,3,4908,0.9%
Kitimat,420,590420,2021S05100420,4,2,4.8834,5 NHA,Northern,Kitimat,Northwest,1,6727,4.0%
Ladner,1559,591559,2021S05101559,2,2,7.3762,2 FHA,Fraser,Delta,Fraser South,4,23016,2.1%
Ladysmith,447,590447,2021S05100447,1,2,13.8502,4 VIHA,Vancouver Island,Cowichan Valley North,Central Vancouver Island,4,11194,1.6%
