PC,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford,0.822489854,0.215994645,0.414169207,0.301549675,0.305474063,0.349291213,0.224062487,0.403510777,0.344000813,0.039752,-0.291615093,-0.308179207
Aldergrove,0.512933078,-0.146824322,0.008804434,-0.171863366,-0.23110963,-0.156309493,-0.196940545,0.065202018,-0.029321386,-0.316651526,-0.593557254,-0.526641652
Aldergrove East,0.487029659,-0.151590275,-0.025844629,-0.190563515,-0.228720121,-0.16325431,-0.213431505,0.045201926,-0.045838741,-0.347701727,-0.631633041,-0.560511125
Armstrong,1.016214769,0.098356946,0.81741787,0.573053956,0.542220766,0.548024692,0.768991318,0.769717693,0.650363601,0.109834665,-0.069913848,-0.634896132
Ashcroft,1.767007414,1.172756714,1.651890656,1.347216199,1.182188859,1.084369637,1.344922153,1.670233002,1.29330798,0.875718972,0.59595446,-0.23237985
Barriere,1.590216541,0.800135874,1.863189449,1.572434675,1.429586607,1.612877606,1.838061204,2.121308721,1.827384047,0.928801935,0.692392565,0.003127224
Blind Bay,1.32678401,0.509952697,1.120574071,0.952621171,0.640222684,0.705753583,0.88548913,0.931683393,0.48171259,0.223009205,0.323245549,-0.066929583
Burns Lake,1.914150412,0.633529117,1.0088724,1.358561516,0.951659312,1.051602746,1.012816938,1.127900595,0.858617192,0.274801918,0.017356864,0.059077864
Campbell River,0.450541073,0.041842299,0.401046282,0.356628665,0.423618233,0.682442328,0.582141677,0.791269508,0.537754489,0.07334986,-0.155454367,-0.53761222
Castlegar,1.565060619,1.194959576,2.368240398,1.895404464,1.506180045,1.131224061,1.294956769,1.424767665,1.213880091,0.8996707,1.087108478,0.555385469
Chase,1.810946907,0.625554808,1.250329726,1.582171567,1.761965993,1.786366954,1.977020819,1.863106115,1.204656117,0.596228853,0.828344458,0.335248244
Chemainus,0.717781486,0.044360651,0.304442781,0.235296741,0.16135098,0.159431983,0.016580646,0.082591022,0.107910429,-0.064811278,-0.155570502,-0.302263382
Chilliwack,1.119385011,0.482608961,0.554758752,0.467325123,0.449257245,0.459716032,0.400646976,0.469760606,0.429406351,0.241216585,-0.148210938,-0.094247058
Cobble Hill,0.711802796,0.185076296,0.45641137,0.407343628,0.49043698,0.598370221,0.629474289,0.67875496,0.570828974,0.107100613,-0.211726906,-0.390379446
Courtenay,0.549345514,-0.029407022,0.252283154,0.133950495,0.18907662,0.484546045,0.27804659,0.475653954,0.369244167,0.027480764,-0.147017229,-0.444687877
