PC,1,2,3,4,5,6,7,8,9,10,11,12
Abbotsford,0.942358562,0.190478353,0.544713025,0.497666763,0.55465268,0.500961192,0.577177332,0.408030424,0.107278247,0.067062554,0.256900145,-0.102778988
Aldergrove,0.710410475,-0.083366517,0.315731452,0.29672067,0.426733289,0.382410093,0.505996432,0.323676029,0.038939343,-0.083260886,0.078817275,-0.309737309
Aldergrove East,0.719726129,-0.044436322,0.327109516,0.305517066,0.434824549,0.384869983,0.525302916,0.364808121,0.081657799,-0.052161796,0.077161358,-0.304174624
Armstrong,1.968843261,0.931733305,1.161408151,0.911704859,0.780019493,0.878343921,1.106882542,1.014704092,0.596049844,0.33612715,0.578949844,0.02918878
Ashcroft,2.469561313,1.371569038,1.355943598,0.97930171,1.15410524,1.087187517,1.468949564,1.272510095,0.963493924,0.754528934,0.80334398,0.371444523
Barriere,2.358163807,1.155481622,1.369856334,0.931089417,0.9435043,1.102647385,1.46135309,1.244629806,0.838447557,0.470327366,0.994562091,0.559966963
Blind Bay,1.902528442,0.864249924,0.91530355,0.601024132,0.688704048,0.736630983,0.949785572,0.905896425,0.691589941,0.40441606,0.324574407,0.157380066
Burns Lake,2.687959965,1.279448682,1.420124253,0.377525526,0.558623507,0.477492608,0.375843961,0.204400875,0.018876762,0.072315441,0.110568316,0.425830396
Campbell River,0.520551159,-0.227322122,0.116249875,-0.022602707,0.272690382,0.163109305,0.26370512,0.147366039,-0.115507253,-0.290676663,-0.167443102,-0.247720975
Castlegar,2.552072721,1.69291307,1.874289123,1.344661412,1.358657493,1.287623838,1.174482705,0.922508032,0.987095622,0.915791942,1.582838719,1.195414458
Chase,3.357368755,1.891161939,1.780742766,1.376057526,1.387713695,1.518717315,1.731904581,1.678043737,1.471669002,1.231645807,1.57383332,1.307531432
Chemainus,0.998064266,0.337911399,0.755828549,0.529197995,0.575246533,0.576183888,0.840214309,0.646932299,0.406567486,0.224750144,0.367294096,0.108596816
Chilliwack,1.190831137,0.49346904,0.720340107,0.652249603,0.64575549,0.625325654,0.723399568,0.586306848,0.239091979,0.153738276,0.379656512,0.019571046
Cobble Hill,0.76008538,0.054129087,0.414106619,0.233639473,0.306387399,0.363173192,0.566020015,0.491054995,0.146821544,-0.04562344,0.046220827,-0.255794548
Courtenay,0.460892407,-0.172637795,0.18395084,0.010834291,0.233633259,0.003463935,0.170324615,0.023914474,-0.193763504,-0.37858904,-0.232896705,-0.397935697
Cowichan Bay,0.970427032,0.243498753,0.661101858,0.47900303,0.564432958,0.611043548,0.763195568,0.611868484,0.270364647,0.079256239,0.23478347,-0.039221233
Cranbrook,1.395519121,0.135340258,0.941199218,0.410327306,0.308386973,0.301032055,0.503157178,0.357121001,0.092026514,-0.119607137,0.398790525,-0.524219561
Creston,0.725592955,-0.338933165,0.216839442,-0.002807544,-0.027997396,-0.059743063,0.167610058,-0.13308859,-0.344747495,-0.401475183,0.308584014,-0.507415773
Crofton,1.370042358,0.614718307,1.080232063,0.836171334,0.864480796,0.824023919,0.939485962,0.777515111,0.600557285,0.432465987,0.654659648,0.415183469
Cultus Lake,3.482672063,2.777199955,3.180476358,3.016433927,3.025341203,3.015471128,2.607346198,2.351697363,2.046121051,2.184583073,2.612305001,2.333526517
Cumberland,1.17373952,0.540086808,1.034374812,0.736000198,0.88453102,0.694737454,0.816262242,0.60436996,0.396409213,0.162210138,0.483329565,0.255609895
Dawson Creek,2.469947592,1.098113833,1.143525115,0.235386124,-0.032880698,0.09569176,0.212485548,0.214690911,0.529965644,-0.375654347,-0.007041317,1.057764169
Duck Lake,2.211552874,1.138960482,1.397005643,1.018663528,1.078787973,1.002392326,1.318400493,1.192983993,0.793543137,0.468855033,0.688732348,0.422327721
Duncan,1.093301655,0.386846798,0.839552903,0.590893453,0.6162936,0.633021748,0.86454259,0.696594004,0.435446842,0.216369641,0.471690049,0.167038988
Elkford,3.636065581,2.812077458,3.952240588,2.737242993,1.875549132,1.676571926,1.565339591,1.328909608,0.995412281,1.066465521,2.38526904,2.009177093
Enderby,1.879346187,0.879380983,1.045726211,0.793368572,0.715677669,0.798651988,0.917907231,0.808808971,0.434656403,0.279835098,0.555306508,0.065702421
Fairwinds,0.290290995,-0.143758118,0.339246007,0.164579794,0.32576397,0.182242187,0.459696132,0.192562742,0.12218217,-0.196697501,-0.251543347,-0.538228319
Fernie,2.399837907,1.096232822,2.194787136,1.375220823,1.059371963,1.075078946,1.202204571,1.051458642,0.645985135,0.098030244,1.075727913,0.319167396
Fort Nelson,2.351185894,1.34619049,1.203259643,0.728249183,-0.212013894,-0.226178619,0.037778196,-0.222492026,0.248153076,0.430663721,0.792649029,1.803408552
Fort St. James,2.904792182,1.367316734,1.193300947,0.523775797,0.712947074,0.342382623,0.485858627,0.423141272,0.150450027,0.040606325,0.166646264,0.591189525
Fort St. John,1.993861956,0.509098916,0.543483192,-0.197438097,-0.264926118,-0.28696184,-0.131468182,-0.161745611,-0.065943042,-0.634495385,-0.691601928,0.278904
Gibsons,1.023088195,0.508251483,0.893106126,0.598620441,0.441760515,0.6983839,0.791019008,0.817675558,0.579383684,0.387598895,0.424801076,0.137325833
Golden,2.039653895,0.879737678,1.530842537,0.387800553,0.763105156,0.74093846,0.923257758,0.653767234,0.43892416,0.000872232,0.881416017,0.009985745
Grand Forks,1.178462201,0.28458855,0.939400715,0.405434311,0.457094564,0.646981406,0.666127805,0.555411345,0.077820746,-0.140124814,0.381886118,-0.102193207
Harrison Hot Springs,2.314156607,1.552528134,1.715052629,1.638246788,1.590534001,1.459615216,1.341297851,1.165031314,1.008905628,1.039160924,1.366518701,1.115068252
Hope,4.072082092,3.021527415,3.070347569,2.688872649,2.694694607,2.546602806,2.456776578,2.435669272,2.612454991,2.605449786,2.909190936,2.88611809
Houston,1.487357134,0.258146923,0.807936002,0.008459352,0.113577665,-0.071815907,-0.032324624,-0.432722583,-0.776833373,-0.431019826,-0.63682666,-0.630698354
Invermere,0.56680633,-0.347388429,0.739494716,0.135956536,0.369827436,0.430614428,0.472114435,0.334404154,0.039751209,-0.427553013,-0.171923563,-1.008953453
Kamloops,2.990540605,1.907524666,2.029494268,1.721743596,1.882557113,1.76703925,2.08660742,1.782497771,1.705899696,1.139584068,1.395066065,1.005807073
Kelowna,2.723545183,1.663814044,1.904549199,1.507727478,1.550547866,1.450612565,1.942476791,1.687924563,1.405099326,1.103677517,1.275729692,1.02273233
Kent,1.253840843,0.490152762,0.73601577,0.708572937,0.740768015,0.71314224,0.864128803,0.767246,0.436232826,0.292374574,0.43363448,0.076581615
Keremeos,4.575844914,3.517007202,4.00727105,3.829348683,4.107890315,4.135958911,4.849966461,4.576941045,3.989921491,3.155193163,3.273903611,3.384026583
Kimberley,1.73260994,0.641869129,1.417545254,0.899680366,0.832599243,0.931824515,1.260094875,0.980693908,0.590845931,0.305995799,0.785513242,-0.169493877
Kitimat,1.748643033,0.575203249,0.880899456,0.545044709,0.726648808,0.652972974,0.765239811,0.531876799,0.503204276,0.375520503,0.331390905,0.510754928
Ladner,0.899492882,0.368701231,0.81067992,0.664132813,0.783738459,0.784771675,1.000911498,0.99331731,0.721275994,0.369845615,0.498595269,-0.139547771
Ladysmith,1.554127552,0.955280491,1.516586846,1.314524244,1.325854546,1.355668131,1.487990353,1.293517894,1.05642307,0.805595463,1.053989696,0.735450519
Lake Cowichan,1.572377442,1.049286119,1.841535491,1.685759323,1.574105398,1.629919963,1.483818185,1.142485898,0.683938195,0.667093868,1.24075551,0.823883496
Lillooet,4.55283406,3.63513223,3.447615496,3.270462912,3.614508706,3.690888524,4.13712096,3.842519288,3.38467937,2.749361026,3.089874418,2.642465145
Lions Bay,5.45395383,4.876693698,5.534399925,5.13728975,5.1634427,5.099577693,4.694888895,4.678678697,4.475648154,4.29649125,4.673748206,4.474019615
Logan Lake,1.942284618,0.544123951,0.888798442,0.530473283,0.432206917,0.39655928,1.129784351,0.471238162,0.323680642,-0.094100883,0.203506107,-0.295204159
Lumby,3.176397207,2.116793863,2.449423879,2.249627688,2.337881277,2.671871712,2.768531875,2.605239485,2.199301243,1.782594275,2.098816482,1.483217689
Mackenzie,2.956800252,1.142331257,1.074552104,0.230275597,-0.01643775,0.097875749,0.013273667,0.089755189,0.133455251,0.042330145,-0.045584646,0.61969214
Merritt,2.561312926,1.036348224,1.246736344,0.793205316,0.804102474,0.726161174,0.766316344,0.726218476,0.210413989,0.438687781,1.10404297,0.45033388
Mile 108 Recreational Ranch,2.006316098,0.724942895,0.768660389,0.272538939,0.262491671,0.331014961,0.402538589,0.14713345,0.050894641,-0.127739045,0.610189603,0.254507794
Miller's Landing,1.365261923,0.886550908,1.338653176,1.136827095,1.177833197,1.182869509,1.250144935,1.334975647,1.116736705,0.783047331,0.888039408,0.490013667
Mission,1.035653866,0.248161693,0.615332033,0.470407273,0.516474942,0.51703593,0.61105567,0.551407716,0.239489589,0.155000382,0.227018381,-0.083693995
